lat,lon,NAME,AWATER,INTPTLAT,INTPTLON,STATE_NAME
36.0753604529,-119.815502709,Kings,3162664,+36.0724780,-119.8155301,California
36.6057058971,-121.074995529,San Benito,4719300,+36.6116507,-121.0858108,California
36.7581801263,-119.649322632,Fresno,136609898,+36.7610058,-119.6550193,California
40.0046824769,-120.838597596,Plumas,156387636,+39.9922953,-120.8243709,California
36.5111268089,-117.410789686,Inyo,76915743,+36.5619770,-117.4039269,California
37.9233794475,-121.951073113,Contra Costa,225285866,+37.9194790,-121.9515431,California
38.5972506332,-119.82065303,Alpine,12557304,+38.6217831,-119.7983522,California
40.7050090829,-123.915819446,Humboldt,1253864712,+40.7066554,-123.9261757,California
39.0345595213,-121.694849665,Sutter,15240591,+39.0361898,-121.7039397,California
37.5591374435,-120.997682895,Stanislaus,46351766,+37.5623162,-121.0028311,California
38.05518334,-122.748858563,Marin,797055812,+38.0518169,-122.7459738,California
40.7637666014,-122.040521531,Shasta,186302040,+40.7605142,-122.0435556,California
37.6504930265,-121.917998966,Alameda,216907015,+37.6471385,-121.9124880,California
33.7436800499,-115.993845895,Riverside,243883196,+33.7298275,-116.0022389,California
37.4362097341,-122.355663195,San Mateo,757114175,+37.4146725,-122.3715457,California
39.4336238198,-123.431553907,Mendocino,962946206,+39.4323876,-123.4428811,California
37.7597150131,-122.693975573,San Francisco,479114582,+37.7272391,-123.0322294,California
38.0276014047,-119.95475358,Tuolumne,138772442,+38.0214344,-119.9647335,California
38.7787375794,-120.524649929,El Dorado,203342316,+38.7856116,-120.5342245,California
39.5984047698,-122.392206808,Glenn,33693350,+39.6025462,-122.4016998,California
40.6735903894,-120.594332834,Lassen,463426056,+40.7210862,-120.6299518,California
37.9347459676,-121.271403235,San Joaquin,89109687,+37.9349815,-121.2722440,California
33.0395904342,-115.365336962,Imperial,790217372,+33.0408143,-115.3554001,California
39.0996453445,-122.753183909,Lake,188851723,+39.0948019,-122.7467569,California
38.5064964441,-122.330538465,Napa,104295181,+38.5070999,-122.3259045,California
38.2669127871,-121.940024418,Solano,218671901,+38.2672255,-121.9395940,California
39.6669293633,-121.600671735,Butte,105261063,+39.6659588,-121.6019188,California
35.3428473738,-118.729900424,Kern,78680980,+35.3466288,-118.7295064,California
34.5383440862,-120.030786183,Santa Barbara,2729751706,+34.5370572,-120.0399729,California
38.525292575,-122.922544658,Sonoma,498182342,+38.5251824,-122.9261095,California
38.6866603948,-121.90161702,Yolo,22878428,+38.6795955,-121.9024413,California
40.1257361849,-122.233884853,Tehama,33767783,+40.1261573,-122.2322737,California
37.0216059108,-122.009787403,Santa Cruz,419743117,+37.0124883,-122.0072050,California
37.938990343,-118.886709262,Mono,214695677,+37.9158363,-118.8751668,California
33.028186394,-116.770204664,San Diego,817404622,+33.0236041,-116.7761174,California
33.6769134328,-117.776142822,Orange,401931862,+33.6756872,-117.7772068,California
39.0634313879,-120.717645936,Placer,246466620,+39.0620323,-120.7227181,California
41.5898335739,-120.725028959,Modoc,661284408,+41.5929185,-120.7183704,California
36.220156659,-118.80047248,Tulare,37207487,+36.2288339,-118.7810551,California
41.5926866339,-122.540367763,Siskiyou,179149815,+41.5879861,-122.5332868,California
34.1979978627,-118.26101385,Los Angeles,1793485467,+34.1963983,-118.2618616,California
41.744942366,-123.957801356,Del Norte,578742642,+41.7639580,-124.0036140,California
35.38741848,-120.452196945,San Luis Obispo,815573121,+35.3852242,-120.4475445,California
40.6506935615,-123.112627727,Trinity,73407950,+40.6478033,-123.1144760,California
39.301369579,-120.768752113,Nevada,41531993,+39.2975082,-120.7713429,California
34.3575285169,-119.126027193,Ventura,947345370,+34.3587415,-119.1331432,California
37.5815223099,-119.905517029,Mariposa,36225644,+37.5700295,-119.9128613,California
34.8414378315,-116.17846142,San Bernardino,96414425,+34.8572198,-116.1811967,California
39.2690076722,-121.351262732,Yuba,31057995,+39.2701300,-121.3442587,California
37.191870471,-120.717688,Merced,110178168,+37.1948063,-120.7228019,California
36.2397743956,-121.308901554,Monterey,1267800137,+36.2401070,-121.3155723,California
37.2324840341,-121.696278854,Santa Clara,33595384,+37.2206954,-121.6905097,California
38.4493208547,-121.344253814,Sacramento,75425434,+38.4500161,-121.3404408,California
38.204606803,-120.554132098,Calaveras,43841871,+38.1838996,-120.5614415,California
39.177573113,-122.237029616,Colusa,14608887,+39.1777385,-122.2375629,California
38.446389504,-120.651115621,Amador,29470567,+38.4435501,-120.6538563,California
39.5804001016,-120.515996378,Sierra,23299110,+39.5769252,-120.5219926,California
37.2180440575,-119.762644507,Madera,42245931,+37.2098213,-119.7498023,California
