County,D0,D1,D2,D3,D4,FIPS,MapDate,MapYear,None,State,StatisticFormatID,ValidEnd,ValidStart
"Alameda County","50.32","49.68",0,0,0,6001,20181225,2018,0,CA,2,"12/31/18","12/25/18"
"Alameda County","50.32","49.68",0,0,0,6001,20181218,2018,0,CA,2,"12/24/18","12/18/18"
"Alameda County","50.32","49.68",0,0,0,6001,20181211,2018,0,CA,2,"12/17/18","12/11/18"
"Alameda County",0,100,0,0,0,6001,20181204,2018,0,CA,2,"12/10/18","12/4/18"
"Alameda County",0,100,0,0,0,6001,20181127,2018,0,CA,2,"12/3/18","11/27/18"
"Alameda County",0,100,0,0,0,6001,20181120,2018,0,CA,2,"11/26/18","11/20/18"
"Alameda County",100,0,0,0,0,6001,20181113,2018,0,CA,2,"11/19/18","11/13/18"
"Alameda County",100,0,0,0,0,6001,20181106,2018,0,CA,2,"11/12/18","11/6/18"
"Alameda County",100,0,0,0,0,6001,20181030,2018,0,CA,2,"11/5/18","10/30/18"
"Alameda County",100,0,0,0,0,6001,20181023,2018,0,CA,2,"10/29/18","10/23/18"
"Alameda County",100,0,0,0,0,6001,20181016,2018,0,CA,2,"10/22/18","10/16/18"
"Alameda County",100,0,0,0,0,6001,20181009,2018,0,CA,2,"10/15/18","10/9/18"
"Alameda County",100,0,0,0,0,6001,20181002,2018,0,CA,2,"10/8/18","10/2/18"
"Alameda County",100,0,0,0,0,6001,20180925,2018,0,CA,2,"10/1/18","9/25/18"
"Alameda County",100,0,0,0,0,6001,20180918,2018,0,CA,2,"9/24/18","9/18/18"
"Alameda County",100,0,0,0,0,6001,20180911,2018,0,CA,2,"9/17/18","9/11/18"
"Alameda County",100,0,0,0,0,6001,20180904,2018,0,CA,2,"9/10/18","9/4/18"
"Alameda County",100,0,0,0,0,6001,20180828,2018,0,CA,2,"9/3/18","8/28/18"
"Alameda County",100,0,0,0,0,6001,20180821,2018,0,CA,2,"8/27/18","8/21/18"
"Alameda County",100,0,0,0,0,6001,20180814,2018,0,CA,2,"8/20/18","8/14/18"
"Alameda County",100,0,0,0,0,6001,20180807,2018,0,CA,2,"8/13/18","8/7/18"
"Alameda County",100,0,0,0,0,6001,20180731,2018,0,CA,2,"8/6/18","7/31/18"
"Alameda County",100,0,0,0,0,6001,20180724,2018,0,CA,2,"7/30/18","7/24/18"
"Alameda County",100,0,0,0,0,6001,20180717,2018,0,CA,2,"7/23/18","7/17/18"
"Alameda County",100,0,0,0,0,6001,20180710,2018,0,CA,2,"7/16/18","7/10/18"
"Alameda County",100,0,0,0,0,6001,20180703,2018,0,CA,2,"7/9/18","7/3/18"
"Alameda County",100,0,0,0,0,6001,20180626,2018,0,CA,2,"7/2/18","6/26/18"
"Alameda County","42.06",0,0,0,0,6001,20180619,2018,"57.94",CA,2,"6/25/18","6/19/18"
"Alameda County","41.59",0,0,0,0,6001,20180612,2018,"58.41",CA,2,"6/18/18","6/12/18"
"Alameda County","41.59",0,0,0,0,6001,20180605,2018,"58.41",CA,2,"6/11/18","6/5/18"
"Alameda County","41.59",0,0,0,0,6001,20180529,2018,"58.41",CA,2,"6/4/18","5/29/18"
"Alameda County","41.59",0,0,0,0,6001,20180522,2018,"58.41",CA,2,"5/28/18","5/22/18"
"Alameda County","41.51",0,0,0,0,6001,20180515,2018,"58.49",CA,2,"5/21/18","5/15/18"
"Alameda County","42.33",0,0,0,0,6001,20180508,2018,"57.67",CA,2,"5/14/18","5/8/18"
"Alameda County","44.91",0,0,0,0,6001,20180501,2018,"55.09",CA,2,"5/7/18","5/1/18"
"Alameda County","44.91",0,0,0,0,6001,20180424,2018,"55.09",CA,2,"4/30/18","4/24/18"
"Alameda County","44.91",0,0,0,0,6001,20180417,2018,"55.09",CA,2,"4/23/18","4/17/18"
"Alameda County","44.91",0,0,0,0,6001,20180410,2018,"55.09",CA,2,"4/16/18","4/10/18"
"Alameda County","44.91",0,0,0,0,6001,20180403,2018,"55.09",CA,2,"4/9/18","4/3/18"
"Alameda County","44.91",0,0,0,0,6001,20180327,2018,"55.09",CA,2,"4/2/18","3/27/18"
"Alameda County","44.91",0,0,0,0,6001,20180320,2018,"55.09",CA,2,"3/26/18","3/20/18"
"Alameda County","44.91",0,0,0,0,6001,20180313,2018,"55.09",CA,2,"3/19/18","3/13/18"
"Alameda County",100,0,0,0,0,6001,20180306,2018,0,CA,2,"3/12/18","3/6/18"
"Alameda County",100,0,0,0,0,6001,20180227,2018,0,CA,2,"3/5/18","2/27/18"
"Alameda County",100,0,0,0,0,6001,20180220,2018,0,CA,2,"2/26/18","2/20/18"
"Alameda County",0,0,0,0,0,6001,20180213,2018,100,CA,2,"2/19/18","2/13/18"
"Alameda County",0,0,0,0,0,6001,20180206,2018,100,CA,2,"2/12/18","2/6/18"
"Alameda County",0,0,0,0,0,6001,20180130,2018,100,CA,2,"2/5/18","1/30/18"
"Alameda County",0,0,0,0,0,6001,20180123,2018,100,CA,2,"1/29/18","1/23/18"
"Alameda County",0,0,0,0,0,6001,20180116,2018,100,CA,2,"1/22/18","1/16/18"
"Alameda County",0,0,0,0,0,6001,20180109,2018,100,CA,2,"1/15/18","1/9/18"
"Alameda County",0,0,0,0,0,6001,20180102,2018,100,CA,2,"1/8/18","1/2/18"
"Alameda County",0,0,0,0,0,6001,20171226,2017,100,CA,2,"1/1/18","12/26/17"
"Alpine County","1.39",0,0,0,0,6003,20181225,2018,"98.61",CA,2,"12/31/18","12/25/18"
"Alpine County","1.39",0,0,0,0,6003,20181218,2018,"98.61",CA,2,"12/24/18","12/18/18"
"Alpine County","1.39",0,0,0,0,6003,20181211,2018,"98.61",CA,2,"12/17/18","12/11/18"
"Alpine County","1.39",0,0,0,0,6003,20181204,2018,"98.61",CA,2,"12/10/18","12/4/18"
"Alpine County",100,0,0,0,0,6003,20181127,2018,0,CA,2,"12/3/18","11/27/18"
"Alpine County",100,0,0,0,0,6003,20181120,2018,0,CA,2,"11/26/18","11/20/18"
"Alpine County",100,0,0,0,0,6003,20181113,2018,0,CA,2,"11/19/18","11/13/18"
"Alpine County",100,0,0,0,0,6003,20181106,2018,0,CA,2,"11/12/18","11/6/18"
"Alpine County","68.36",0,0,0,0,6003,20181030,2018,"31.64",CA,2,"11/5/18","10/30/18"
"Alpine County","68.36",0,0,0,0,6003,20181023,2018,"31.64",CA,2,"10/29/18","10/23/18"
"Alpine County","68.36",0,0,0,0,6003,20181016,2018,"31.64",CA,2,"10/22/18","10/16/18"
"Alpine County","68.36",0,0,0,0,6003,20181009,2018,"31.64",CA,2,"10/15/18","10/9/18"
"Alpine County","68.36",0,0,0,0,6003,20181002,2018,"31.64",CA,2,"10/8/18","10/2/18"
"Alpine County","68.36",0,0,0,0,6003,20180925,2018,"31.64",CA,2,"10/1/18","9/25/18"
"Alpine County","68.36",0,0,0,0,6003,20180918,2018,"31.64",CA,2,"9/24/18","9/18/18"
"Alpine County","68.36",0,0,0,0,6003,20180911,2018,"31.64",CA,2,"9/17/18","9/11/18"
"Alpine County","68.36",0,0,0,0,6003,20180904,2018,"31.64",CA,2,"9/10/18","9/4/18"
"Alpine County","68.36",0,0,0,0,6003,20180828,2018,"31.64",CA,2,"9/3/18","8/28/18"
"Alpine County","68.36",0,0,0,0,6003,20180821,2018,"31.64",CA,2,"8/27/18","8/21/18"
"Alpine County","67.82",0,0,0,0,6003,20180814,2018,"32.18",CA,2,"8/20/18","8/14/18"
"Alpine County","67.82",0,0,0,0,6003,20180807,2018,"32.18",CA,2,"8/13/18","8/7/18"
"Alpine County","67.82",0,0,0,0,6003,20180731,2018,"32.18",CA,2,"8/6/18","7/31/18"
"Alpine County","69.77",0,0,0,0,6003,20180724,2018,"30.23",CA,2,"7/30/18","7/24/18"
"Alpine County","69.77",0,0,0,0,6003,20180717,2018,"30.23",CA,2,"7/23/18","7/17/18"
"Alpine County","69.77",0,0,0,0,6003,20180710,2018,"30.23",CA,2,"7/16/18","7/10/18"
"Alpine County","69.77",0,0,0,0,6003,20180703,2018,"30.23",CA,2,"7/9/18","7/3/18"
"Alpine County","68.87",0,0,0,0,6003,20180626,2018,"31.13",CA,2,"7/2/18","6/26/18"
"Alpine County",0,0,0,0,0,6003,20180619,2018,100,CA,2,"6/25/18","6/19/18"
"Alpine County",0,0,0,0,0,6003,20180612,2018,100,CA,2,"6/18/18","6/12/18"
"Alpine County",0,0,0,0,0,6003,20180605,2018,100,CA,2,"6/11/18","6/5/18"
"Alpine County",0,0,0,0,0,6003,20180529,2018,100,CA,2,"6/4/18","5/29/18"
"Alpine County",0,0,0,0,0,6003,20180522,2018,100,CA,2,"5/28/18","5/22/18"
"Alpine County",0,0,0,0,0,6003,20180515,2018,100,CA,2,"5/21/18","5/15/18"
"Alpine County",0,0,0,0,0,6003,20180508,2018,100,CA,2,"5/14/18","5/8/18"
"Alpine County",0,0,0,0,0,6003,20180501,2018,100,CA,2,"5/7/18","5/1/18"
"Alpine County",0,0,0,0,0,6003,20180424,2018,100,CA,2,"4/30/18","4/24/18"
"Alpine County",0,0,0,0,0,6003,20180417,2018,100,CA,2,"4/23/18","4/17/18"
"Alpine County",0,0,0,0,0,6003,20180410,2018,100,CA,2,"4/16/18","4/10/18"
